slug,city,state
agra-institute-of-technology,Agra,Haryana
ahmedabad-institute-of-technology,Ahmedabad,Haryana
ajmer-institute-of-technology,Ajmer,Chhattisgarh
aligarh-institute-of-technology,Aligarh,Odisha
allahabad-institute-of-technology,Allahabad,West Bengal
amity-university,Noida,Uttar Pradesh
amritsar-institute-of-technology,Amritsar,Maharashtra
bangalore-institute-of-technology,Bangalore,Rajasthan
bareilly-institute-of-technology,Bareilly,Haryana
bhopal-institute-of-technology,Bhopal,Rajasthan
bhubaneswar-institute-of-technology,Bhubaneswar,Delhi
bikaner-institute-of-technology,Bikaner,Gujarat
bits-pilani,Pilani,Rajasthan
chandigarh-institute-of-technology,Chandigarh,Delhi
chennai-institute-of-technology,Chennai,Rajasthan
coimbatore-institute-of-technology,Coimbatore,Karnataka
dehradun-institute-of-technology,Dehradun,Tamil Nadu
delhi-institute-of-technology,Delhi,Telangana
dharamshala-institute-of-technology,Dharamshala,Jharkhand
national-institute-of-technology-jalandhar,Jalandhar,Punjab
faridabad-institute-of-technology,Faridabad,Uttar Pradesh
ghaziabad-institute-of-technology,Ghaziabad,Himachal Pradesh
gurgaon-institute-of-technology,Gurgaon,Assam
guwahati-institute-of-technology,Guwahati,Telangana
haridwar-institute-of-technology,Haridwar,Karnataka
hyderabad-institute-of-technology,Hyderabad,Rajasthan
indian-institute-of-technology-varanasi,Varanasi,Uttar Pradesh
indian-institute-of-technology-dhanbad,Dhanbad,Jharkhand
indian-institute-of-technology-bhilai,Bhilai,Chhattisgarh
indian-institute-of-technology-bhubaneswar,Bhubaneswar,Odisha
iit-bombay,Mumbai,Maharashtra
iit-delhi,New Delhi,Delhi
indian-institute-of-technology-dharwad,Dharwad,Karnataka
indian-institute-of-technology-gandhinagar,Gandhinagar,Gujarat
indian-institute-of-technology-goa,Ponda,Goa
indian-institute-of-technology-guwahati,Guwahati,Assam
indian-institute-of-technology-hyderabad,Hyderabad,Telangana
indian-institute-of-technology-indore,Indore,Madhya Pradesh
indian-institute-of-technology-jammu,Jammu,Jammu and Kashmir
indian-institute-of-technology-jodhpur,Jodhpur,Rajasthan
indian-institute-of-technology-kanpur,Kanpur,Uttar Pradesh
indian-institute-of-technology-kharagpur,Kharagpur,West Bengal
iit-madras,Chennai,Tamil Nadu
indian-institute-of-technology-mandi,Mandi,Himachal Pradesh
indian-institute-of-technology-palakkad,Palakkad,Kerala
indian-institute-of-technology-patna,Patna,Bihar
indian-institute-of-technology-roorkee,Roorkee,Uttarakhand
indian-institute-of-technology-ropar,Rupnagar,Punjab
indian-institute-of-technology-tirupati,Tirupati,Andhra Pradesh
indore-institute-of-technology,Indore,Rajasthan
jaipur-institute-of-technology,Jaipur,Madhya Pradesh
jalandhar-institute-of-technology,Jalandhar,Chhattisgarh
jodhpur-institute-of-technology,Jodhpur,Madhya Pradesh
kiit-university,Bhubaneswar,Odisha
kanpur-institute-of-technology,Kanpur,Himachal Pradesh
karnal-institute-of-technology,Karnal,Andhra Pradesh
kochi-institute-of-technology,Kochi,Tamil Nadu
kolkata-institute-of-technology,Kolkata,Uttarakhand
lovely-professional-university,Phagwara,Punjab
lucknow-institute-of-technology,Lucknow,Karnataka
ludhiana-institute-of-technology,Ludhiana,Telangana
national-institute-of-technology-jaipur,Jaipur,Rajasthan
manali-institute-of-technology,Manali,Karnataka
manipal-institute-of-technology,Manipal,Karnataka
national-institute-of-technology-bhopal,Bhopal,Madhya Pradesh
meerut-institute-of-technology,Meerut,Jharkhand
moradabad-institute-of-technology,Moradabad,Uttarakhand
national-institute-of-technology-allahabad,Prayagraj,Uttar Pradesh
mumbai-institute-of-technology,Mumbai,Telangana
nagpur-institute-of-technology,Nagpur,Uttarakhand
nainital-institute-of-technology,Nainital,Gujarat
national-institute-of-technology-agartala,Agartala,Tripura
